photoIdx,NDVI,OSAVI,PSSRa,PSSRb,PRI,MTVI2,SR,DVI,SIPI,PSRI,CRI1,CRI2,ARI1,ARI2,WBI
1,0.7016887516968501,0.6968428410433473,2.2767420871755064,2.401007643683244,0.12853652208819066,1.5317159768555073,2.2767420871755064,-0.8794037842039961,0.47897631990991557,0.9289459454087837,7.1032185922758515,7.1459779353296335,0.19935270447850087,0.19847711434299178,0.8153851552502371
2,0.7397178419477045,0.7225593680183524,2.272009501287471,2.3449614724471495,0.1323537588156355,1.5480010057648277,2.272009501287471,-0.8962708936273112,0.487295971205033,0.9286536817463223,7.5904159803400955,8.203229873776671,0.19882317102144018,0.19709632255296164,0.8131019187491365
3,0.7085433377132199,0.7055376820420064,2.1997144130191892,2.27551372649246,0.14672208268095366,1.5561839353242806,2.1997144130191892,-0.9148191996969954,0.3838135972584546,0.9408190253930712,6.135522136023801,6.642151450601043,0.19919419032238384,0.1983725805806219,0.8105611517123903
4,0.7262056685836624,0.7130416947363617,2.228301625943358,2.3045454790147732,0.14340548394786412,1.552508039382674,2.228301625943358,-0.9090243925829145,0.43084237013979715,0.9366635984793303,7.886842682732016,7.81523132661334,0.1992609202948169,0.1982261663977521,0.8115841455768923
5,0.695861279130463,0.6932062002951405,2.204897812799404,2.2738510248444657,0.1354270451512176,1.552074911026591,2.204897812799404,-0.9098319774105667,0.39933132778903313,0.9370904845957847,5.212215565677118,6.106652424970294,0.19916534840718175,0.19700585199450107,0.8116019631550154
6,0.7208270351730831,0.7010393385152488,2.0771860158437057,2.101796109525139,0.14814236573400813,1.5766704097506912,2.0771860158437057,-0.9704027434690303,0.38664928153985684,0.9786377495468052,7.88290709515712,8.605256270380396,0.19881020293882637,0.1964214033838996,0.8041388492553159
7,0.7302983422784864,0.7090500291076764,2.106201895915825,2.126509012352299,0.1317634835348679,1.5731595394044482,2.106201895915825,-0.9608391465465179,0.48636001581625765,0.9726345134423563,6.2137623043830175,7.990252308884392,0.1962841960288015,0.19234672124832958,0.8053584709200704
8,0.7364232308155632,0.7037998708340656,2.1263465160355284,2.1398148341652834,0.11704937040100291,1.5691785849377626,2.1263465160355284,-0.9559429398875287,0.5310329846552582,0.9688910421286447,7.075238305191946,8.358472114027157,0.19505897496841001,0.18793578824242693,0.8065838534091554
9,0.7254602245260655,0.7050357674999821,2.088306283946998,2.1094726263205827,0.13744460825684457,1.5754263597164644,2.088306283946998,-0.9672445492140035,0.4268834143709027,0.9765986859394097,6.5398803163775865,8.030988288373281,0.19724858965193062,0.19416389629553468,0.8042217314289396
10,0.7326816271720205,0.7026231155693985,2.0934520567856603,2.117240718786513,0.135747107049113,1.5737626544724246,2.0934520567856603,-0.9655829912590435,0.45580898750336785,0.9751808591131012,6.870691552705597,8.259309155553545,0.19591324368683044,0.19053158221137578,0.8050509209674425
11,0.6837895052077904,0.6942826393182664,2.151751358214725,2.240983484930112,0.16783823210321128,1.5624631250240988,2.151751358214725,-0.9271290726035063,0.2831835156751942,0.9497166259965238,0.10645875311529274,5.907867755888809,0.199338644017959,0.1992738623907207,0.80860476682004
