≤®≥§,∑¥…‰¬ %
400,3.028
410,3.304
420,3.13
430,3.39
440,3.103
450,2.831
460,2.901
470,2.994
480,2.987
490,3.116
500,3.116
510,3.041
520,3.196
530,2.905
540,2.906
550,2.952
560,3.08
570,3.135
580,3.205
590,3.425
600,3.337
610,3.481
620,3.443
630,3.618
640,3.559
650,3.455
660,3.7
670,3.688
680,3.75
690,3.923
700,3.949
710,3.799
720,3.801
730,3.857
740,3.95
750,3.823
760,3.914
770,3.845
780,3.826
790,3.704
800,3.76
810,3.724
820,3.723
830,3.65
840,3.632
850,3.537
860,3.334
870,3.487
880,3.45
890,3.351
900,3.26
910,3.261
920,3.346
930,3.315
940,3.185
950,3.166
960,3.423
970,3.272
980,3.156
990,3.277
